instance,group,algorithm,seed,feasible,served_customers,vehicles,total_distance,total_travel_time,runtime_seconds,improvement_vs_bih_vehicles,improvement_vs_bih_distance,improvement_vs_bih_time
RC1_10_10,RC1,BIH-ACO,2026.0,True,1000,94,62265.794907,127750.041835,99.928123,0.0,0.0,0.0
RC1_10_2,RC1,BIH-ACO,2026.0,True,1000,91,75687.828935,132180.385567,93.406303,0.0,0.0,0.0
RC1_10_3,RC1,BIH-ACO,2026.0,True,1000,91,79750.82718,121700.378576,102.894524,0.0,0.0,0.0
RC1_10_4,RC1,BIH-ACO,2026.0,True,1000,90,87935.090113,118086.39501,107.461228,0.0,0.0,0.0
RC1_10_5,RC1,BIH-ACO,2026.0,True,1000,94,66828.56309,124990.300313,102.422557,0.0,0.0,0.0
RC1_10_6,RC1,BIH-ACO,2026.0,True,1000,96,65668.869913,126303.224796,107.761575,0.0,0.0,0.0
RC1_10_7,RC1,BIH-ACO,2026.0,True,1000,94,67519.276399,123132.725947,93.037094,0.0,0.0,0.0
RC1_10_8,RC1,BIH-ACO,2026.0,True,1000,96,61733.307498,130151.71107,96.388039,0.0,0.0,0.0
RC1_10_9,RC1,BIH-ACO,2026.0,True,1000,95,63187.296271,131615.74716,95.634468,0.0,0.0,0.0
RC2_10_1,RC2,BIH-ACO,2026.0,True,1000,28,49611.830664,155591.72992,96.563313,0.0,0.0,0.0
RC2_10_10,RC2,BIH-ACO,2026.0,True,1000,19,40974.60632,114862.266882,96.702297,0.0,0.0,0.0
RC2_10_2,RC2,BIH-ACO,2026.0,True,1000,24,42116.609663,135235.459022,100.790536,0.0,0.0,0.0
RC2_10_3,RC2,BIH-ACO,2026.0,True,1000,21,31942.650335,108315.824876,111.401879,0.0,0.0,0.0
RC2_10_4,RC2,BIH-ACO,2026.0,True,1000,18,26843.930997,83946.889153,113.997608,0.0,0.0,0.0
RC2_10_5,RC2,BIH-ACO,2026.0,True,1000,23,47878.216335,134197.737185,94.107466,0.0,0.0,0.0
RC2_10_6,RC2,BIH-ACO,2026.0,True,1000,23,38572.878052,143533.992719,92.025319,0.0,0.0,0.0
RC2_10_7,RC2,BIH-ACO,2026.0,True,1000,21,36274.129931,129840.13951,94.428859,0.0,0.0,0.0
RC2_10_8,RC2,BIH-ACO,2026.0,True,1000,19,38866.931375,118861.302471,107.352507,0.0,0.0,0.0
RC2_10_9,RC2,BIH-ACO,2026.0,True,1000,20,41129.212094,122894.83639,108.201798,0.0,0.0,0.0
C1_10_1,C1,BIH,,True,1000,107,47296.990632,140535.679168,289.414912,0.0,0.0,0.0
C1_10_10,C1,BIH,,True,1000,128,94419.158176,188137.803246,327.62461,0.0,0.0,0.0
C1_10_2,C1,BIH,,True,1000,98,58203.711653,152181.151912,434.617194,0.0,0.0,0.0
C1_10_3,C1,BIH,,True,1000,98,73352.658185,166828.679007,512.2493,0.0,0.0,0.0
C1_10_4,C1,BIH,,True,1000,100,72041.647296,168841.860567,494.695691,0.0,0.0,0.0
C1_10_5,C1,BIH,,True,1000,115,54791.678176,149335.664548,390.848392,0.0,0.0,0.0
C1_10_6,C1,BIH,,True,1000,126,62167.758631,159456.178834,407.222422,0.0,0.0,0.0
C1_10_7,C1,BIH,,True,1000,108,53106.56197,145153.109021,446.650542,0.0,0.0,0.0
C1_10_8,C1,BIH,,True,1000,123,69676.837362,166790.654239,413.79166,0.0,0.0,0.0
C1_10_9,C1,BIH,,True,1000,106,63627.325361,155492.99799,446.082587,0.0,0.0,0.0
C2_10_1,C2,BIH,,True,1000,34,21880.385451,117411.514606,908.307114,0.0,0.0,0.0
C2_10_10,C2,BIH,,True,1000,37,38106.759121,143201.891157,941.970748,0.0,0.0,0.0
C2_10_2,C2,BIH,,True,1000,36,48347.11565,139805.219202,976.899378,0.0,0.0,0.0
C2_10_3,C2,BIH,,True,1000,38,54348.179713,145687.200441,1065.421927,0.0,0.0,0.0
C2_10_4,C2,BIH,,True,1000,34,33913.376597,130931.408189,1134.784008,0.0,0.0,0.0
C2_10_5,C2,BIH,,True,1000,35,24019.610412,121420.142449,953.766444,0.0,0.0,0.0
C2_10_6,C2,BIH,,True,1000,41,52551.450761,145431.195638,843.331518,0.0,0.0,0.0
C2_10_7,C2,BIH,,True,1000,43,47542.148059,149302.580532,818.317609,0.0,0.0,0.0
C2_10_8,C2,BIH,,True,1000,34,33777.110849,129832.284209,923.740469,0.0,0.0,0.0
C2_10_9,C2,BIH,,True,1000,44,53484.893324,152025.707757,796.162919,0.0,0.0,0.0
R1_10_1,R1,BIH,,True,1000,107,84531.161718,161902.070425,465.51165,0.0,0.0,0.0
R1_10_10,R1,BIH,,True,1000,92,90971.062099,146950.055281,492.346645,0.0,0.0,0.0
